,0
cedi_ret_lag5_mean,0.01769
cedi_mom_5d,0.01683
cedi_mom_21d,0.0142
cedi_volratio,0.01047
cedi_ret_lag2,0.00922
cedi_ret_lag1,0.00826
cocoa_vol_21d,0.00696
macro_policy_rate,0.00691
cocoa_vol_63d,0.00593
macro_cpi_yoy,0.00419
cedi_absret_lag1,0.00418
macro_exports_usd_m,0.0039
vix_drawdown_63d,0.00372
cedi_vol_5d,0.00363
cedi_drawdown_63d,0.00312
dxy_mom_63d,0.00295
corr_cocoa_vix_21d,0.00284
dxy_vol_21d,0.00274
corr_cocoa_dxy_21d,0.00248
brent_vol_63d,0.00237
cedi_vol_63d,0.00233
gold_mom_21d,0.00233
vix_vol_63d,0.00221
dxy_mom_21d,0.00203
gold_mom_63d,0.002
gold_vol_63d,0.002
brent_vol_21d,0.0019
vix_vol_21d,0.00187
corr_cocoa_wti_21d,0.00182
cedi_mom_63d,0.00175
cocoa_mom_63d,0.00169
wti_vol_21d,0.00168
cocoa_vol_5d,0.00161
cocoa_drawdown_63d,0.0016
wti_vol_63d,0.00154
brent_mom_63d,0.00142
corr_cocoa_cedi_21d,0.0013
dxy_vol_5d,0.00121
gold_vol_21d,0.0012
gold_drawdown_63d,0.00113
dxy_volratio,0.00113
cedi_vol_21d,0.00106
corr_cocoa_brent_21d,0.00098
joint_tail_count,0.00095
dxy_vol_63d,0.00092
gold_vol_5d,0.00081
cocoa_mom_21d,0.0007
corr_cocoa_gold_21d,0.00069
vix_mom_63d,0.00065
wti_mom_63d,0.00065
brent_drawdown_63d,0.00062
gold_volratio,0.00059
gold_ret_lag5_mean,0.00057
cocoa_ret_lag5_mean,0.00055
macro_cedi_depreciation_pct_m,0.00053
wti_vol_5d,0.00052
gold_mom_5d,0.00051
cocoa_volratio,0.00047
cocoa_mom_5d,0.00045
brent_volratio,0.00041
wti_volratio,0.00039
brent_mom_21d,0.00039
wti_drawdown_63d,0.00039
wti_mom_21d,0.00037
dxy_mom_5d,0.00035
brent_vol_5d,0.00035
vix_mom_21d,0.00032
vix_vol_5d,0.00031
gold_absret_lag1,0.00029
cocoa_ret_lag2,0.00027
dxy_ret_lag5_mean,0.00026
dxy_drawdown_63d,0.00025
dxy_ret_lag2,0.00024
vix_mom_5d,0.00023
wti_ret_lag5_mean,0.0002
wti_mom_5d,0.0002
cocoa_absret_lag1,0.00019
vix_ret_lag5_mean,0.00019
cocoa_ret_lag1,0.00018
brent_ret_lag5_mean,0.00017
brent_mom_5d,0.00014
brent_ret_lag2,0.00013
wti_ret_lag1,0.00013
vix_volratio,0.00013
gold_ret_lag2,0.00012
vix_ret_lag2,0.00012
vix_absret_lag1,0.00011
wti_absret_lag1,0.00011
vix_ret_lag1,0.0001
wti_ret_lag2,9e-05
brent_absret_lag1,9e-05
brent_ret_lag1,8e-05
dxy_ret_lag1,7e-05
dxy_absret_lag1,5e-05
gold_ret_lag1,4e-05
